84168 Feet, 9 Inches
139380 Feet, 7 Inches
212090 Feet, 5 Inches
299941 Feet, 0 Inches
382711 Feet, 0 Inches
420013 Feet, 4 Inches
503119 Feet, 1 Inches
528939 Feet, 10 Inches
563342 Feet, 4 Inches
585666 Feet, 5 Inches
614940 Feet, 3 Inches
645913 Feet, 4 Inches
708369 Feet, 9 Inches
728827 Feet, 11 Inches
772773 Feet, 7 Inches
823753 Feet, 9 Inches
909709 Feet, 5 Inches
944186 Feet, 11 Inches
1020982 Feet, 11 Inches
1031172 Feet, 8 Inches
1038334 Feet, 5 Inches
1070631 Feet, 5 Inches
1108524 Feet, 4 Inches
1186237 Feet, 9 Inches
1271542 Feet, 3 Inches
1340966 Feet, 1 Inches
1417597 Feet, 2 Inches
1456506 Feet, 0 Inches
1507686 Feet, 6 Inches
1538192 Feet, 7 Inches
1591510 Feet, 11 Inches
1676792 Feet, 1 Inches
1757725 Feet, 7 Inches
1809369 Feet, 8 Inches
1829490 Feet, 8 Inches
1883578 Feet, 3 Inches
1919705 Feet, 2 Inches
1934284 Feet, 8 Inches
1977803 Feet, 8 Inches
2024669 Feet, 2 Inches
2114400 Feet, 9 Inches
2135121 Feet, 9 Inches
2200517 Feet, 1 Inches
2219135 Feet, 0 Inches
2288784 Feet, 10 Inches
2372099 Feet, 7 Inches
2452544 Feet, 3 Inches
2489398 Feet, 2 Inches
2510339 Feet, 4 Inches
2548216 Feet, 7 Inches
2581860 Feet, 11 Inches
2625516 Feet, 3 Inches
2690493 Feet, 1 Inches
2704483 Feet, 5 Inches
2749343 Feet, 11 Inches
2820750 Feet, 5 Inches
2898406 Feet, 11 Inches
2927560 Feet, 11 Inches
2930316 Feet, 7 Inches
2972159 Feet, 3 Inches
3013452 Feet, 9 Inches
3082726 Feet, 10 Inches
3125090 Feet, 2 Inches
3136313 Feet, 4 Inches
3212411 Feet, 11 Inches
3236941 Feet, 6 Inches
3273848 Feet, 8 Inches
3279310 Feet, 10 Inches
3295504 Feet, 7 Inches
3317249 Feet, 9 Inches
3415340 Feet, 1 Inches
3434288 Feet, 10 Inches
3492425 Feet, 9 Inches
3573162 Feet, 6 Inches
3590121 Feet, 5 Inches
3638691 Feet, 0 Inches
3735083 Feet, 0 Inches
3764736 Feet, 0 Inches
3765613 Feet, 4 Inches
3824452 Feet, 7 Inches
3865738 Feet, 0 Inches
3918984 Feet, 11 Inches
4006848 Feet, 8 Inches
4045788 Feet, 4 Inches
4098088 Feet, 11 Inches
4180792 Feet, 9 Inches
4183219 Feet, 7 Inches
4264515 Feet, 0 Inches
4309130 Feet, 7 Inches
4400807 Feet, 4 Inches
4480767 Feet, 10 Inches
4561343 Feet, 7 Inches
4573687 Feet, 6 Inches
4656936 Feet, 6 Inches
4683186 Feet, 7 Inches
4694124 Feet, 8 Inches
4721829 Feet, 3 Inches
4818859 Feet, 1 Inches
4854858 Feet, 9 Inches
4903756 Feet, 0 Inches
4987146 Feet, 2 Inches
5086263 Feet, 7 Inches
5100920 Feet, 2 Inches
5175182 Feet, 9 Inches
5219929 Feet, 8 Inches
5292809 Feet, 10 Inches
5390094 Feet, 8 Inches
5451256 Feet, 6 Inches
5499924 Feet, 1 Inches
5557575 Feet, 3 Inches
5635587 Feet, 0 Inches
5688100 Feet, 2 Inches
5781809 Feet, 2 Inches
5845538 Feet, 9 Inches
5933232 Feet, 11 Inches
6022040 Feet, 3 Inches
6036767 Feet, 1 Inches
6070280 Feet, 3 Inches
6076350 Feet, 10 Inches
6083890 Feet, 10 Inches
6105064 Feet, 2 Inches
6183650 Feet, 0 Inches
