86 Feet, 9 Inches
99 Feet, 4 Inches
190 Feet, 10 Inches
212 Feet, 7 Inches
263 Feet, 10 Inches
307 Feet, 4 Inches
369 Feet, 10 Inches
420 Feet, 6 Inches
470 Feet, 9 Inches
485 Feet, 3 Inches
487 Feet, 4 Inches
547 Feet, 11 Inches
553 Feet, 3 Inches
614 Feet, 6 Inches
659 Feet, 9 Inches
757 Feet, 9 Inches
842 Feet, 11 Inches
935 Feet, 5 Inches
958 Feet, 9 Inches
1007 Feet, 4 Inches
1050 Feet, 0 Inches
1078 Feet, 5 Inches
1106 Feet, 5 Inches
1144 Feet, 8 Inches
1150 Feet, 0 Inches
1232 Feet, 8 Inches
1301 Feet, 8 Inches
1357 Feet, 8 Inches
1425 Feet, 10 Inches
1524 Feet, 3 Inches
1593 Feet, 9 Inches
1620 Feet, 3 Inches
1661 Feet, 11 Inches
1752 Feet, 0 Inches
1798 Feet, 2 Inches
1883 Feet, 4 Inches
1960 Feet, 8 Inches
1982 Feet, 3 Inches
2071 Feet, 5 Inches
2156 Feet, 1 Inches
2165 Feet, 5 Inches
2217 Feet, 10 Inches
2307 Feet, 5 Inches
2394 Feet, 9 Inches
2451 Feet, 3 Inches
2458 Feet, 0 Inches
2500 Feet, 4 Inches
2576 Feet, 1 Inches
2585 Feet, 6 Inches
2621 Feet, 7 Inches
2694 Feet, 9 Inches
2713 Feet, 1 Inches
2729 Feet, 3 Inches
2766 Feet, 0 Inches
2818 Feet, 4 Inches
2863 Feet, 4 Inches
2924 Feet, 7 Inches
2973 Feet, 0 Inches
2982 Feet, 9 Inches
3051 Feet, 9 Inches
3094 Feet, 9 Inches
3180 Feet, 2 Inches
3205 Feet, 10 Inches
3245 Feet, 7 Inches
3266 Feet, 7 Inches
3279 Feet, 3 Inches
3334 Feet, 8 Inches
3406 Feet, 8 Inches
3475 Feet, 3 Inches
3511 Feet, 10 Inches
3528 Feet, 11 Inches
3533 Feet, 2 Inches
3591 Feet, 10 Inches
3630 Feet, 7 Inches
3638 Feet, 10 Inches
3735 Feet, 3 Inches
3813 Feet, 4 Inches
3856 Feet, 10 Inches
3893 Feet, 3 Inches
3925 Feet, 6 Inches
3985 Feet, 7 Inches
4020 Feet, 10 Inches
4099 Feet, 10 Inches
4185 Feet, 1 Inches
4271 Feet, 5 Inches
4323 Feet, 10 Inches
4342 Feet, 10 Inches
4366 Feet, 2 Inches
4419 Feet, 5 Inches
4497 Feet, 1 Inches
4509 Feet, 8 Inches
4537 Feet, 2 Inches
4549 Feet, 5 Inches
4561 Feet, 1 Inches
4599 Feet, 8 Inches
4664 Feet, 4 Inches
4741 Feet, 9 Inches
4800 Feet, 0 Inches
4814 Feet, 2 Inches
4829 Feet, 2 Inches
